Number,Rank
0, Führer (Adolf Hitler)
0.1, Oberster Führer der Schutzstaffel
1,	SS Generals
1.1,	Reichsführer
1.2,	Oberst-Gruppenführer
1.3,	Obergruppenführer
1.4,	Gruppenführer
1.5,	Brigadeführer
2,	SS Officers
2.1,	Oberführer
2.2,	Standartenführer
2.3,	Obersturmbannführer
2.4,	Sturmbannführer
2.5,	Hauptsturmführer
2.6,	Obersturmführer
2.7,	Untersturmführer
3,	SS Non-Commissioned Officers
3.1,	Sturmscharführer
3.2,	Hauptscharführer
3.3,	Oberscharführer
3.4,	Scharführer
3.5,	Unterscharführer
4,	SS-Stabsscharführer
5,	SS biologist
6,	SS-Kapellmeister
